title,url,watchnum,dm,uptime,upname
阿里云大学课程（云计算、中间件、大数据、云安全）,//www.bilibili.com/video/BV1Lv411s7wu?from=search,2954,4,2021/1/21,韭菜滚雪球
视觉传达设计专业的小朋友大学课程有哪些，强度怎么样，需要什么技能？学姐给新生的解答与建议,//www.bilibili.com/video/BV1Ea4y1a7CX?from=search,3526,8,2020/7/25,铧仔仔儿的奋斗史
CAP：适合高中生的大学课程（上大学之前提前学习大学的课程）同济大学《微积分CAP》,//www.bilibili.com/video/BV1X4411Y7u8?from=search,5597,17,2019/5/11,愚甘杂货铺
干货！论文读写系列｜写作风格：例文解析（1）｜人文社科｜教育学｜大学课程、知识,//www.bilibili.com/video/BV1VC4y1b7ZA?from=search,1.1万,29,2020/7/26,cici西西熙熙
《用户体验与心理-第1期》大学课程,//www.bilibili.com/video/BV1r7411M7gY?from=search,1373,9,2020/2/24,Luka老师
《新能源汽车故障诊断》-南昌职业大学课程,//www.bilibili.com/video/BV1hZ4y1W7DH?from=search,2646,54,2020/6/12,小飞Flery老师
【中字】Giriboy“百年制大学课程”新专采访.Behind the beats201906,//www.bilibili.com/video/BV1B4411F7yB?from=search,3743,10,2019/7/8,Yizzy_Kawasaki
【学神本人】201909大学课程的意义和对实际工作价值(1),//www.bilibili.com/video/BV1f4411y7pQ?from=search,7544,27,2019/9/6,学神王牢实
【1080P 60帧】大学课程《计算机网络（谢希仁著）》（第七版）配套视频,//www.bilibili.com/video/BV15E411K76A?from=search,14.1万,638,2020/3/10,夢丶隨心飛
阿里云大学课程（大数据、云计算、云安全、中间件）,//www.bilibili.com/video/BV1F54y1v7g5?from=search,5755,8,2020/8/30,山静馀花
【大学课程】工程测量上——西南交大,//www.bilibili.com/video/BV1nK411j7Ra?from=search,1.8万,32,2020/4/16,习惯的想象
【大学课程php基础】PHP基础课,//www.bilibili.com/video/BV1Ct41167oK?from=search,2698,5,2019/1/1,冰河世纪程序猿
【布里斯托大学课程】-2021年中级经济学-Economics-中级经济chapter 2,//www.bilibili.com/video/BV1uv411Y7oH?from=search,8,0,2021/2/23,UK_Starlight
大学课程：美国独立战争,//www.bilibili.com/video/BV1Lh41117me?from=search,897,0,2021/2/1,啵仔不哭
【斯坦福大学课程】广义相对论（双语）,//www.bilibili.com/video/BV1G5411E7pT?from=search,229,0,2021/2/13,啵仔不哭
大头狗博士带你学大学课程（四）：高数重点基础知识-中值定理证明！,//www.bilibili.com/video/BV1ht4y1D79H?from=search,9180,78,2020/8/8,大头dog博士和朋友们
【土木工程】都学哪些课程？你适合学土木工程专业吗？大学课程如何安排，大一基础课，大二专业基础课，大三专业课+方向课，大四课程设计+毕业论文。高考志愿如何选择,//www.bilibili.com/video/BV155411e746?from=search,1699,2,2020/7/26,大不列颠的少女
5个奇怪的大学课程，自拍课？,//www.bilibili.com/video/BV1K7411D7sC?from=search,25.0万,742,2020/3/29,我是EyeOpener
【大学课程】《税法》（全37讲）（培养财政、经济、金融、会计、法律等相关专业学生的税法实务思维能力和实操能力）,//www.bilibili.com/video/BV1KV411r7eu?from=search,2.3万,20,2020/7/6,爱学习的小刚子
【大学课程】《生命教育》— 尊重生命、珍爱生命、发展生命（共5集）,//www.bilibili.com/video/BV1UC4y1p7zn?from=search,1199,0,2020/4/21,爱学习的小刚子
【生活篇】UCLA本科生带你了解加州大学课程设置与毕业要求,//www.bilibili.com/video/BV1qt4y1r7Y3?from=search,1107,8,2021/1/9,未必存在的真理
商业法大学课程—鲍勃案例作业,//www.bilibili.com/video/BV1tK4y1b7Uu?from=search,1284,12,2020/4/30,吃肉的大鳄鱼
【大学课程】《中国民族民间舞传统、典型组合课（男班）》（全5集）,//www.bilibili.com/video/BV1Hi4y1b7RA?from=search,902,0,2020/4/2,爱学习的小刚子
【布里斯托大学课程】-2021年中级经济学-Economics-中级经济chapter 2,//www.bilibili.com/video/BV1uv411Y7oH?from=search,8,0,2021/2/23,UK_Starlight
Enscape for Sketchup 大学课程作业-咖啡厅设计（刚学剪辑的短期成果QAQ）,//www.bilibili.com/video/BV1v54y1r7wS?from=search,377,0,2020/11/1,Azarain
大头狗博士带你学大学课程（四）：高数重点基础知识-中值定理证明！,//www.bilibili.com/video/BV1ht4y1D79H?from=search,9180,78,2020/8/8,大头dog博士和朋友们
干货！论文读写系列｜写作风格：例文解析（1）｜人文社科｜教育学｜大学课程、知识,//www.bilibili.com/video/BV1VC4y1b7ZA?from=search,1.1万,29,2020/7/26,cici西西熙熙
大学课程 高等数学 分段函数分段点的极限,//www.bilibili.com/video/BV1N741197uf?from=search,804,2,2020/3/27,山东专升本--王老师
"human anatomy from University of California, Berkeley人体（系统）解剖学 加州大学课程",//www.bilibili.com/video/BV1hW411j79r?from=search,2734,1,2018/4/18,工藤二杰
视觉传达设计专业的小朋友大学课程有哪些，强度怎么样，需要什么技能？学姐给新生的解答与建议,//www.bilibili.com/video/BV1Ea4y1a7CX?from=search,3526,8,2020/7/25,铧仔仔儿的奋斗史
【慕尼黑大学课程】印度–伊朗语历史语言学 08 阿维斯塔语 01,//www.bilibili.com/video/BV17h41127ur?from=search,287,0,2021/1/11,tonypt
Holly中英|期末ddl~高效的线上大学课程！20201216,//www.bilibili.com/video/BV1Ma4y1p7Re?from=search,3641,2,2020/12/16,studyyyyy
编程学习必备——C语言数据结构栈和队列，大学课程又一难题！学会这节课，打好基础，不挂科！,//www.bilibili.com/video/BV1gv411r7Na?from=search,416,7,2020/11/11,C语言小白进阶之路
【名师课堂】《风险模型与非寿险精算学》授课讲师：谢远涛——对外经济贸易大学课程,//www.bilibili.com/video/BV1cE411T7fd?from=search,5334,7,2020/3/9,经管之家
【国外大学课程】代数拓扑（全26讲）,//www.bilibili.com/video/BV1Yb411k7gw?from=search,1903,0,2019/2/1,白稚卿
【大学课程】计算机网络-第四周-3-CRC循环冗余检验,//www.bilibili.com/video/BV1U7411d7ts?from=search,2757,13,2020/3/18,HOLMES_MA
【大学课程设计】C/C++设计图书管理系统，一个小时带你利用C语言链表解决课程设计，再也不用担心老师催你交作业了！,//www.bilibili.com/video/BV1wE411C7br?from=search,8028,24,2019/10/15,谁说有时间
【Yoora jung】中英字幕 | 熬到四点注册大学课程 大学vlog,//www.bilibili.com/video/BV1Ki4y1t7AC?from=search,3997,40,2020/4/19,VlogShare
大学课程2,//www.bilibili.com/video/BV1eX4y157hE?from=search,50,0,2021/2/18,乐尽
【慕尼黑大学课程】印度–伊朗语历史语言学 01 课程内容简介，吠陀梵语学习材料,//www.bilibili.com/video/BV11a411c7hP?from=search,396,1,2020/11/3,tonypt
Enscape for Sketchup 大学课程作业-咖啡厅设计（刚学剪辑的短期成果QAQ）,//www.bilibili.com/video/BV1v54y1r7wS?from=search,377,0,2020/11/1,Azarain
【大学课程】《基因工程》（全集）（DNA 核酸检测 病毒 PCR 分子生物学 生物化学 微生物学 转基因 细胞）,//www.bilibili.com/video/BV1uz4y1R7wv?from=search,3471,16,2020/6/17,爱学习的小刚子
【慕尼黑大学课程】学术资源和规范 06 复习和考试说明,//www.bilibili.com/video/BV1yf4y167EZ?from=search,327,0,2021/1/28,tonypt
【慕尼黑大学课程】吐火罗语语法与阅读 01 东吐火罗语/焉耆语入门介绍，残篇集成和文本介绍,//www.bilibili.com/video/BV18p4y167Z6?from=search,6981,8,2020/11/3,tonypt
【国外大学课程】代数拓扑（全26讲）,//www.bilibili.com/video/BV1Yb411k7gw?from=search,1903,0,2019/2/1,白稚卿
【大学课程】Multisim数电课设之数字秒表——421施公队处女作,//www.bilibili.com/video/BV1Yf4y127xF?from=search,1181,0,2020/6/10,421施公队
【NCCU】应用数学 -复变函数论 （大学课程）,//www.bilibili.com/video/BV1Mt4y1e7iB?from=search,3009,2,2020/10/30,逆风微笑的代码狗
【慕尼黑大学课程】吐火罗语语法与阅读 08《福力太子因缘》阅读和词语分析,//www.bilibili.com/video/BV1bX4y1M75K?from=search,855,0,2021/1/11,tonypt
【慕尼黑大学课程】吐火罗语语法与阅读 10《福力太子因缘》阅读和词语分析，工巧者,//www.bilibili.com/video/BV1dK4y1W7Bw?from=search,385,0,2021/1/25,tonypt
大头狗博士带你学大学课程（三）：高数先导知识第0章-函数基础知识,//www.bilibili.com/video/BV1Bz411v7gH?from=search,5751,19,2020/7/8,大头dog博士和朋友们
【慕尼黑大学课程】学术资源和规范 04 PDF 软件和文本识别；文件传输和云盘；学校扫描复印机器；单机词典；文献整理工具 Zotero；参考文献格式,//www.bilibili.com/video/BV1wz4y1r7qp?from=search,449,0,2020/12/17,tonypt
女大学生选修插花课，包一束花就能修学分，你觉得大学课程水吗？,//www.bilibili.com/video/BV1ZJ41147A3?from=search,2386,4,2019/12/18,酒酿酱冉冉
【慕尼黑大学课程】吐火罗语语法与阅读 02 西吐火罗语残片集成，吐火罗语文本梳理和介绍，佛教部派问题,//www.bilibili.com/video/BV1ai4y1L7Pr?from=search,323,0,2020/11/10,tonypt
【慕尼黑大学课程】吐火罗语语法与阅读 04 吐火罗语名词和动词，历史音韵学，东吐火罗语文本《福力太子因缘》介绍和阅读,//www.bilibili.com/video/BV1Jy4y1q7yD?from=search,260,0,2020/11/24,tonypt
【大学课程】计算机网络-第四周-3-CRC循环冗余检验,//www.bilibili.com/video/BV1U7411d7ts?from=search,2757,13,2020/3/18,HOLMES_MA
【慕尼黑大学课程】学术资源和规范 02 期末报告；慕尼黑大学数据库；德语词典和文本数据库；TITUS；日耳曼语数据库 (哥特语和古德语示例),//www.bilibili.com/video/BV1h54y1z7eb?from=search,542,0,2020/11/19,tonypt
MATLAB程序设计 大学课程,//www.bilibili.com/video/BV1m54y1U7wM?from=search,3101,0,2020/8/25,听风南巷
衍天宗少微学府小学到大学课程_剑网3剧情172,//www.bilibili.com/video/BV1qa411c72j?from=search,965,0,2020/10/31,眠猫与癌共生
【慕尼黑大学课程】印度–伊朗语历史语言学 08 阿维斯塔语 01,//www.bilibili.com/video/BV17h41127ur?from=search,287,0,2021/1/11,tonypt
大学课程 高等数学 分段函数分段点的极限,//www.bilibili.com/video/BV1N741197uf?from=search,804,2,2020/3/27,山东专升本--王老师
【慕尼黑大学课程】吐火罗语语法与阅读 07 吐火罗语动词过去时和分词，《福力太子因缘》阅读和词语分析,//www.bilibili.com/video/BV14f4y1e7B4?from=search,395,0,2020/12/15,tonypt
【慕尼黑大学课程】印度–伊朗语历史语言学 10 古波斯语 01,//www.bilibili.com/video/BV11V411q7uT?from=search,236,0,2021/1/25,tonypt
STM32数字网络温度计-大学课程设计-哨兵一号ShaoBing_1.0(OLED ESP8266 等应用),//www.bilibili.com/video/BV1tJ411s7tk?from=search,2175,1,2019/12/22,O正义阿庚O
大头狗博士带你学大学课程（五）：罗尔中值定理例题讲解,//www.bilibili.com/video/BV1ZA411J7cq?from=search,763,0,2020/8/21,大头dog博士和朋友们
【大学课程】Multisim数电课设之数字秒表——421施公队骚睿出品,//www.bilibili.com/video/BV1H54y1Q77n?from=search,698,0,2020/6/10,421施公队
【慕尼黑大学课程】吐火罗语语法与阅读 11《福力太子因缘》阅读和词语分析，善生经,//www.bilibili.com/video/BV11o4y1R7G1?from=search,188,0,2021/2/1,tonypt
